ObjectProperty,label,parent,parentLabel,definition,comment,IAODefinition,domain,domainLabel,domainDef,domainComment,domainIAODefinition,range,rangeLabel,rangeDef,rangeComment,rangeIAODefinition
http://cerrado.linkeddata.es/ecology/ccon#isMortalityOf,is mortality of,,,,,,http://cerrado.linkeddata.es/ecology/ccon#Mortality,mortality rate,,It's the number of individuals dead over time.,,https://w3id.org/inbio#_000093,population,A population comprises all the individuals of a given species in a specific area or region at a certain time.,,
http://cerrado.linkeddata.es/ecology/ccon#hasNatality,has natality,,,,,,https://w3id.org/inbio#_000093,population,A population comprises all the individuals of a given species in a specific area or region at a certain time.,,,https://w3id.org/inbio#_000077,birth rate,,"The rate in which new borns are added to a population, or in other words, the number of new borns over time.",
http://cerrado.linkeddata.es/ecology/ccon#isNatalityOf,is natality of,,,,,,https://w3id.org/inbio#_000077,birth rate,,"The rate in which new borns are added to a population, or in other words, the number of new borns over time.",,https://w3id.org/inbio#_000093,population,A population comprises all the individuals of a given species in a specific area or region at a certain time.,,
http://cerrado.linkeddata.es/ecology/ccon#hasNumberOfIndividuals,has number of individuals,,,,,,https://w3id.org/inbio#_000093,population,A population comprises all the individuals of a given species in a specific area or region at a certain time.,,,http://purl.obolibrary.org/obo/NCIT_C127787,total number,A measurement of the total number of entities.,,
http://cerrado.linkeddata.es/ecology/ccon#hasNumberOfIndividuals,has number of individuals,,,,,,https://w3id.org/inbio#_000093,population,A population comprises all the individuals of a given species in a specific area or region at a certain time.,,,http://purl.obolibrary.org/obo/NCIT_C127787,total number,The determination of the amount of total number of entities.,,
http://cerrado.linkeddata.es/ecology/ccon#hasRecruitment,has recruitment,,,,,,https://w3id.org/inbio#_000093,population,A population comprises all the individuals of a given species in a specific area or region at a certain time.,,,http://cerrado.linkeddata.es/ecology/ccon#Recruitment,recruitment,,It's the rate on which new individuals establishes in a certain community either by new born individuals or immigration.,
http://cerrado.linkeddata.es/ecology/ccon#hasRecruitment,has recruitment,,,,,,https://w3id.org/inbio#_000093,population,A population comprises all the individuals of a given species in a specific area or region at a certain time.,,,http://cerrado.linkeddata.es/ecology/ccon#Recruitment,recruitment rate,,It's the rate on which new individuals establishes in a certain community either by new born individuals or immigration.,
http://cerrado.linkeddata.es/ecology/ccon#isRecruitmentOf,is recruitment of,,,,,,http://cerrado.linkeddata.es/ecology/ccon#Recruitment,recruitment,,It's the rate on which new individuals establishes in a certain community either by new born individuals or immigration.,,https://w3id.org/inbio#_000093,population,A population comprises all the individuals of a given species in a specific area or region at a certain time.,,
http://cerrado.linkeddata.es/ecology/ccon#isRecruitmentOf,is recruitment of,,,,,,http://cerrado.linkeddata.es/ecology/ccon#Recruitment,recruitment rate,,It's the rate on which new individuals establishes in a certain community either by new born individuals or immigration.,,https://w3id.org/inbio#_000093,population,A population comprises all the individuals of a given species in a specific area or region at a certain time.,,
http://cerrado.linkeddata.es/ecology/ccon#increases,increases,http://cerrado.linkeddata.es/ecology/ccon#affects,affects,,,,http://cerrado.linkeddata.es/ecology/ccon#Precipitation,average annual precipitation,,Any product of the condensation of atmospheric water vapour that falls under gravity (http://en.wikipedia.org/wiki/Precipitation),,,,,,
http://cerrado.linkeddata.es/ecology/ccon#increases,increases,http://cerrado.linkeddata.es/ecology/ccon#affects,affects,,,,http://cerrado.linkeddata.es/ecology/ccon#Precipitation,precipitation,,Any product of the condensation of atmospheric water vapour that falls under gravity (http://en.wikipedia.org/wiki/Precipitation),,,,,,
http://cerrado.linkeddata.es/ecology/ccon#increases,increases,http://cerrado.linkeddata.es/ecology/ccon#affects,affects,,,,http://cerrado.linkeddata.es/ecology/ccon#Precipitation,rainfall,,Any product of the condensation of atmospheric water vapour that falls under gravity (http://en.wikipedia.org/wiki/Precipitation),,,,,,
http://cerrado.linkeddata.es/ecology/ccon#isCharacteristicOf,is characteristic of,,,,,,,,,,,,,,,
http://cerrado.linkeddata.es/ecology/ccon#isCharacterizedBy,is characterized by,,,,,,,,,,,,,,,
http://cerrado.linkeddata.es/ecology/ccon#isHabitatOf,is habitat of,,,,,,http://purl.obolibrary.org/obo/ENVO_01000739,habitat,An environmental system which can sustain and allow the growth of an ecological population.,,,http://purl.obolibrary.org/obo/NCIT_C45293,species,A group of organisms that differ from all other groups of organisms and that are capable of breeding and producing fertile offspring.,,
http://purl.obolibrary.org/obo/RO_0002303,has habitat,,,,,,http://purl.obolibrary.org/obo/NCIT_C45293,species,A group of organisms that differ from all other groups of organisms and that are capable of breeding and producing fertile offspring.,,,http://purl.obolibrary.org/obo/ENVO_01000739,habitat,An environmental system which can sustain and allow the growth of an ecological population.,,
http://cerrado.linkeddata.es/ecology/ccon#isStatusOf,is status of,,,,,,http://purl.obolibrary.org/obo/NCIT_C25688,status,A condition or state at a particular time.,,,https://w3id.org/inbio#_000025,process,"A process is an entity that exists in time by occurring or happening, has temporal parts and always involves and depends on some entity during the time it occurs.",,
http://cerrado.linkeddata.es/ecology/ccon#isStatusOf,is status of,,,,,,http://purl.obolibrary.org/obo/NCIT_C25688,status,A condition or state at a particular time.,,,https://w3id.org/inbio#_000025,process,"An occurrent [span:Occurrent] that exists in time by occurring or happening, has temporal parts and always involves and depends on some entity.",,
https://w3id.org/inbio#_000105,has status,,,,,,https://w3id.org/inbio#_000025,process,"A process is an entity that exists in time by occurring or happening, has temporal parts and always involves and depends on some entity during the time it occurs.",,,http://purl.obolibrary.org/obo/NCIT_C25688,status,A condition or state at a particular time.,,
https://w3id.org/inbio#_000105,has status,,,,,,https://w3id.org/inbio#_000025,process,"An occurrent [span:Occurrent] that exists in time by occurring or happening, has temporal parts and always involves and depends on some entity.",,,http://purl.obolibrary.org/obo/NCIT_C25688,status,A condition or state at a particular time.,,
http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#characteristicFor,characteristic for,,,,The characteristicFor property gives the entity of the characteristic.,,,,,,,,,,,
http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#characteristicFor,characteristic for,,,,http://ecoinformatics.org/oboe/oboe.1.1/oboe-core.owl#characteristicFor,,,,,,,,,,,
http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#hasMeasurement,has measurement,,,,The hasMeasurement property gives the measurements of the observed entity.,,,,,,,,,,,
http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#hasMeasurement,has measurement,,,,http://ecoinformatics.org/oboe/oboe.1.1/oboe-core.owl#hasMeasurement,,,,,,,,,,,
http://purl.obolibrary.org/obo/BFO_0000050,part of,http://purl.obolibrary.org/obo/BFO_0000050,part of,a core relation that holds between a part and its whole,,,,,,,,,,,,
http://purl.obolibrary.org/obo/BFO_0000050,part of,http://purl.obolibrary.org/obo/BFO_0000050,part_of,a core relation that holds between a part and its whole,,,,,,,,,,,,
http://purl.obolibrary.org/obo/BFO_0000050,part of,http://purl.obolibrary.org/obo/RO_0002131,overlaps,a core relation that holds between a part and its whole,,,,,,,,,,,,
http://purl.obolibrary.org/obo/BFO_0000050,part_of,http://purl.obolibrary.org/obo/BFO_0000050,part of,a core relation that holds between a part and its whole,,,,,,,,,,,,
http://purl.obolibrary.org/obo/BFO_0000050,part_of,http://purl.obolibrary.org/obo/BFO_0000050,part_of,a core relation that holds between a part and its whole,,,,,,,,,,,,
http://purl.obolibrary.org/obo/BFO_0000050,part_of,http://purl.obolibrary.org/obo/RO_0002131,overlaps,a core relation that holds between a part and its whole,,,,,,,,,,,,
http://purl.obolibrary.org/obo/BFO_0000051,has part,http://purl.obolibrary.org/obo/RO_0002131,overlaps,a core relation that holds between a whole and its part,,,,,,,,,,,,
http://purl.obolibrary.org/obo/RO_0002131,overlaps,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/BFO_0000066,occurs in,,,,"Paraphrase of definition: a relation between a process and an independent continuant, in which the process takes place entirely within the independent continuant",,https://w3id.org/inbio#_000025,process,"A process is an entity that exists in time by occurring or happening, has temporal parts and always involves and depends on some entity during the time it occurs.",,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,A material entity is an independent continuant that has some portion of matter as proper or improper continuant part. (axiom label in BFO2 Reference: [019-002]),,
http://purl.obolibrary.org/obo/BFO_0000066,occurs in,,,,"Paraphrase of definition: a relation between a process and an independent continuant, in which the process takes place entirely within the independent continuant",,https://w3id.org/inbio#_000025,process,"A process is an entity that exists in time by occurring or happening, has temporal parts and always involves and depends on some entity during the time it occurs.",,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.,,
http://purl.obolibrary.org/obo/BFO_0000066,occurs in,,,,"Paraphrase of definition: a relation between a process and an independent continuant, in which the process takes place entirely within the independent continuant",,https://w3id.org/inbio#_000025,process,"A process is an entity that exists in time by occurring or happening, has temporal parts and always involves and depends on some entity during the time it occurs.",,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,Every entity which has a material entity as continuant part is a material entity. (axiom label in BFO2 Reference: [020-002]),,
http://purl.obolibrary.org/obo/BFO_0000066,occurs in,,,,"Paraphrase of definition: a relation between a process and an independent continuant, in which the process takes place entirely within the independent continuant",,https://w3id.org/inbio#_000025,process,"A process is an entity that exists in time by occurring or happening, has temporal parts and always involves and depends on some entity during the time it occurs.",,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,every entity of which a material entity is continuant part is also a material entity. (axiom label in BFO2 Reference: [021-002]),,
http://purl.obolibrary.org/obo/BFO_0000066,occurs in,,,,"Paraphrase of definition: a relation between a process and an independent continuant, in which the process takes place entirely within the independent continuant",,https://w3id.org/inbio#_000025,process,"An occurrent [span:Occurrent] that exists in time by occurring or happening, has temporal parts and always involves and depends on some entity.",,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,A material entity is an independent continuant that has some portion of matter as proper or improper continuant part. (axiom label in BFO2 Reference: [019-002]),,
http://purl.obolibrary.org/obo/BFO_0000066,occurs in,,,,"Paraphrase of definition: a relation between a process and an independent continuant, in which the process takes place entirely within the independent continuant",,https://w3id.org/inbio#_000025,process,"An occurrent [span:Occurrent] that exists in time by occurring or happening, has temporal parts and always involves and depends on some entity.",,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.,,
http://purl.obolibrary.org/obo/BFO_0000066,occurs in,,,,"Paraphrase of definition: a relation between a process and an independent continuant, in which the process takes place entirely within the independent continuant",,https://w3id.org/inbio#_000025,process,"An occurrent [span:Occurrent] that exists in time by occurring or happening, has temporal parts and always involves and depends on some entity.",,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,Every entity which has a material entity as continuant part is a material entity. (axiom label in BFO2 Reference: [020-002]),,
http://purl.obolibrary.org/obo/BFO_0000066,occurs in,,,,"Paraphrase of definition: a relation between a process and an independent continuant, in which the process takes place entirely within the independent continuant",,https://w3id.org/inbio#_000025,process,"An occurrent [span:Occurrent] that exists in time by occurring or happening, has temporal parts and always involves and depends on some entity.",,,http://purl.obolibrary.org/obo/BFO_0000040,material entity,every entity of which a material entity is continuant part is also a material entity. (axiom label in BFO2 Reference: [021-002]),,
http://purl.obolibrary.org/obo/BFO_0000075,is aggregate of,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/BFO_0000083,occupies spatial region at some time,,,b occupies_spatial_region r at t means that r is a spatial region in which independent continuant b is exactly located (axiom label in BFO2 Reference: [041-002]),,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.",,,http://purl.obolibrary.org/obo/NCIT_C41129,region,"An area or portion of something with more or less definite boundaries designed or specified according to some established biological, administrative, economic, demographic, etc. criteria.",,
http://purl.obolibrary.org/obo/BFO_0000083,occupies spatial region at some time,,,b occupies_spatial_region r at t means that r is a spatial region in which independent continuant b is exactly located (axiom label in BFO2 Reference: [041-002]),,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,For any independent continuant b and any time t there is some spatial region r such that b is located_in r at t. (axiom label in BFO2 Reference: [134-001]),,,http://purl.obolibrary.org/obo/NCIT_C41129,region,"An area or portion of something with more or less definite boundaries designed or specified according to some established biological, administrative, economic, demographic, etc. criteria.",,
http://purl.obolibrary.org/obo/BFO_0000083,occupies spatial region at some time,,,b occupies_spatial_region r at t means that r is a spatial region in which independent continuant b is exactly located (axiom label in BFO2 Reference: [041-002]),,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"For every independent continuant b and time t during the region of time spanned by its life, there are entities which s-depends_on b during t. (axiom label in BFO2 Reference: [018-002])",,,http://purl.obolibrary.org/obo/NCIT_C41129,region,"An area or portion of something with more or less definite boundaries designed or specified according to some established biological, administrative, economic, demographic, etc. criteria.",,
http://purl.obolibrary.org/obo/BFO_0000083,occupies spatial region at some time,,,every region r is occupies_spatial_region r at all times. (axiom label in BFO2 Reference: [042-002]),,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.",,,http://purl.obolibrary.org/obo/NCIT_C41129,region,"An area or portion of something with more or less definite boundaries designed or specified according to some established biological, administrative, economic, demographic, etc. criteria.",,
http://purl.obolibrary.org/obo/BFO_0000083,occupies spatial region at some time,,,every region r is occupies_spatial_region r at all times. (axiom label in BFO2 Reference: [042-002]),,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,For any independent continuant b and any time t there is some spatial region r such that b is located_in r at t. (axiom label in BFO2 Reference: [134-001]),,,http://purl.obolibrary.org/obo/NCIT_C41129,region,"An area or portion of something with more or less definite boundaries designed or specified according to some established biological, administrative, economic, demographic, etc. criteria.",,
http://purl.obolibrary.org/obo/BFO_0000083,occupies spatial region at some time,,,every region r is occupies_spatial_region r at all times. (axiom label in BFO2 Reference: [042-002]),,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"For every independent continuant b and time t during the region of time spanned by its life, there are entities which s-depends_on b during t. (axiom label in BFO2 Reference: [018-002])",,,http://purl.obolibrary.org/obo/NCIT_C41129,region,"An area or portion of something with more or less definite boundaries designed or specified according to some established biological, administrative, economic, demographic, etc. criteria.",,
http://purl.obolibrary.org/obo/BFO_0000083,occupies spatial region at some time,,,"if b occupies_spatial_region r at t & b continuant_part_of b at t, then there is some r which is continuant_part_of r at t such that b  occupies_spatial_region r at t. (axiom label in BFO2 Reference: [043-001])",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.",,,http://purl.obolibrary.org/obo/NCIT_C41129,region,"An area or portion of something with more or less definite boundaries designed or specified according to some established biological, administrative, economic, demographic, etc. criteria.",,
http://purl.obolibrary.org/obo/BFO_0000083,occupies spatial region at some time,,,"if b occupies_spatial_region r at t & b continuant_part_of b at t, then there is some r which is continuant_part_of r at t such that b  occupies_spatial_region r at t. (axiom label in BFO2 Reference: [043-001])",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,For any independent continuant b and any time t there is some spatial region r such that b is located_in r at t. (axiom label in BFO2 Reference: [134-001]),,,http://purl.obolibrary.org/obo/NCIT_C41129,region,"An area or portion of something with more or less definite boundaries designed or specified according to some established biological, administrative, economic, demographic, etc. criteria.",,
http://purl.obolibrary.org/obo/BFO_0000083,occupies spatial region at some time,,,"if b occupies_spatial_region r at t & b continuant_part_of b at t, then there is some r which is continuant_part_of r at t such that b  occupies_spatial_region r at t. (axiom label in BFO2 Reference: [043-001])",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"For every independent continuant b and time t during the region of time spanned by its life, there are entities which s-depends_on b during t. (axiom label in BFO2 Reference: [018-002])",,,http://purl.obolibrary.org/obo/NCIT_C41129,region,"An area or portion of something with more or less definite boundaries designed or specified according to some established biological, administrative, economic, demographic, etc. criteria.",,
http://purl.obolibrary.org/obo/BFO_0000123,has spatial occupant at some time,,,[copied from inverse property 'occupies spatial region at some time'] b occupies_spatial_region r at t means that r is a spatial region in which independent continuant b is exactly located (axiom label in BFO2 Reference: [041-002]),,,http://purl.obolibrary.org/obo/NCIT_C41129,region,"An area or portion of something with more or less definite boundaries designed or specified according to some established biological, administrative, economic, demographic, etc. criteria.",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.",,
http://purl.obolibrary.org/obo/BFO_0000123,has spatial occupant at some time,,,[copied from inverse property 'occupies spatial region at some time'] b occupies_spatial_region r at t means that r is a spatial region in which independent continuant b is exactly located (axiom label in BFO2 Reference: [041-002]),,,http://purl.obolibrary.org/obo/NCIT_C41129,region,"An area or portion of something with more or less definite boundaries designed or specified according to some established biological, administrative, economic, demographic, etc. criteria.",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,For any independent continuant b and any time t there is some spatial region r such that b is located_in r at t. (axiom label in BFO2 Reference: [134-001]),,
http://purl.obolibrary.org/obo/BFO_0000123,has spatial occupant at some time,,,[copied from inverse property 'occupies spatial region at some time'] b occupies_spatial_region r at t means that r is a spatial region in which independent continuant b is exactly located (axiom label in BFO2 Reference: [041-002]),,,http://purl.obolibrary.org/obo/NCIT_C41129,region,"An area or portion of something with more or less definite boundaries designed or specified according to some established biological, administrative, economic, demographic, etc. criteria.",,,http://purl.obolibrary.org/obo/BFO_0000004,independent continuant,"For every independent continuant b and time t during the region of time spanned by its life, there are entities which s-depends_on b during t. (axiom label in BFO2 Reference: [018-002])",,
http://purl.obolibrary.org/obo/IAO_0000039,has measurement unit label,http://purl.obolibrary.org/obo/BFO_0000051,has part,,,A relation between a value specification and its unit of measurement.,http://purl.obolibrary.org/obo/OBI_0001933,value specification,,,An information content entity that specifies a value within a classification scheme or on a quantitative scale.,http://purl.obolibrary.org/obo/IAO_0000003,measurement unit label,,,A data item label that denotes a unit of measure.
http://purl.obolibrary.org/obo/IAO_0000039,has measurement unit label,http://purl.obolibrary.org/obo/RO_0002131,overlaps,,,A relation between a value specification and its unit of measurement.,http://purl.obolibrary.org/obo/OBI_0001933,value specification,,,An information content entity that specifies a value within a classification scheme or on a quantitative scale.,http://purl.obolibrary.org/obo/IAO_0000003,measurement unit label,,,A data item label that denotes a unit of measure.
http://purl.obolibrary.org/obo/RO_0000056,participates in,,,"a relation between a continuant and a process, in which the continuant is somehow involved in the process",,,http://purl.obolibrary.org/obo/BFO_0000002,continuant,"A continuant is an entity that persists, endures, or continues to exist through time while maintaining its identity. (axiom label in BFO2 Reference: [008-002])",,,https://w3id.org/inbio#_000025,process,"A process is an entity that exists in time by occurring or happening, has temporal parts and always involves and depends on some entity during the time it occurs.",,
http://purl.obolibrary.org/obo/RO_0000056,participates in,,,"a relation between a continuant and a process, in which the continuant is somehow involved in the process",,,http://purl.obolibrary.org/obo/BFO_0000002,continuant,"A continuant is an entity that persists, endures, or continues to exist through time while maintaining its identity. (axiom label in BFO2 Reference: [008-002])",,,https://w3id.org/inbio#_000025,process,"An occurrent [span:Occurrent] that exists in time by occurring or happening, has temporal parts and always involves and depends on some entity.",,
http://purl.obolibrary.org/obo/RO_0000056,participates in,,,"a relation between a continuant and a process, in which the continuant is somehow involved in the process",,,http://purl.obolibrary.org/obo/BFO_0000002,continuant,"An entity that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts.",,,https://w3id.org/inbio#_000025,process,"A process is an entity that exists in time by occurring or happening, has temporal parts and always involves and depends on some entity during the time it occurs.",,
http://purl.obolibrary.org/obo/RO_0000056,participates in,,,"a relation between a continuant and a process, in which the continuant is somehow involved in the process",,,http://purl.obolibrary.org/obo/BFO_0000002,continuant,"An entity that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts.",,,https://w3id.org/inbio#_000025,process,"An occurrent [span:Occurrent] that exists in time by occurring or happening, has temporal parts and always involves and depends on some entity.",,
http://purl.obolibrary.org/obo/RO_0000056,participates in,,,"a relation between a continuant and a process, in which the continuant is somehow involved in the process",,,http://purl.obolibrary.org/obo/BFO_0000002,continuant,"if b is a continuant and if, for some t, c has_continuant_part b at t, then c is a continuant. (axiom label in BFO2 Reference: [126-001])",,,https://w3id.org/inbio#_000025,process,"A process is an entity that exists in time by occurring or happening, has temporal parts and always involves and depends on some entity during the time it occurs.",,
http://purl.obolibrary.org/obo/RO_0000056,participates in,,,"a relation between a continuant and a process, in which the continuant is somehow involved in the process",,,http://purl.obolibrary.org/obo/BFO_0000002,continuant,"if b is a continuant and if, for some t, c has_continuant_part b at t, then c is a continuant. (axiom label in BFO2 Reference: [126-001])",,,https://w3id.org/inbio#_000025,process,"An occurrent [span:Occurrent] that exists in time by occurring or happening, has temporal parts and always involves and depends on some entity.",,
http://purl.obolibrary.org/obo/RO_0000056,participates in,,,"a relation between a continuant and a process, in which the continuant is somehow involved in the process",,,http://purl.obolibrary.org/obo/BFO_0000002,continuant,"if b is a continuant and if, for some t, cis continuant_part of b at t, then c is a continuant. (axiom label in BFO2 Reference: [009-002])",,,https://w3id.org/inbio#_000025,process,"A process is an entity that exists in time by occurring or happening, has temporal parts and always involves and depends on some entity during the time it occurs.",,
http://purl.obolibrary.org/obo/RO_0000056,participates in,,,"a relation between a continuant and a process, in which the continuant is somehow involved in the process",,,http://purl.obolibrary.org/obo/BFO_0000002,continuant,"if b is a continuant and if, for some t, cis continuant_part of b at t, then c is a continuant. (axiom label in BFO2 Reference: [009-002])",,,https://w3id.org/inbio#_000025,process,"An occurrent [span:Occurrent] that exists in time by occurring or happening, has temporal parts and always involves and depends on some entity.",,
http://purl.obolibrary.org/obo/RO_0000056,participates in,,,"a relation between a continuant and a process, in which the continuant is somehow involved in the process",,,http://purl.obolibrary.org/obo/BFO_0000002,continuant,"if b is a material entity, then there is some temporal interval (referred to below as a one-dimensional temporal region) during which b exists. (axiom label in BFO2 Reference: [011-002])",,,https://w3id.org/inbio#_000025,process,"A process is an entity that exists in time by occurring or happening, has temporal parts and always involves and depends on some entity during the time it occurs.",,
http://purl.obolibrary.org/obo/RO_0000056,participates in,,,"a relation between a continuant and a process, in which the continuant is somehow involved in the process",,,http://purl.obolibrary.org/obo/BFO_0000002,continuant,"if b is a material entity, then there is some temporal interval (referred to below as a one-dimensional temporal region) during which b exists. (axiom label in BFO2 Reference: [011-002])",,,https://w3id.org/inbio#_000025,process,"An occurrent [span:Occurrent] that exists in time by occurring or happening, has temporal parts and always involves and depends on some entity.",,
http://purl.obolibrary.org/obo/RO_0000057,has participant,,,"a relation between a process and a continuant, in which the continuant is somehow involved in the process",,,https://w3id.org/inbio#_000025,process,"A process is an entity that exists in time by occurring or happening, has temporal parts and always involves and depends on some entity during the time it occurs.",,,http://purl.obolibrary.org/obo/BFO_0000002,continuant,"A continuant is an entity that persists, endures, or continues to exist through time while maintaining its identity. (axiom label in BFO2 Reference: [008-002])",,
http://purl.obolibrary.org/obo/RO_0000057,has participant,,,"a relation between a process and a continuant, in which the continuant is somehow involved in the process",,,https://w3id.org/inbio#_000025,process,"A process is an entity that exists in time by occurring or happening, has temporal parts and always involves and depends on some entity during the time it occurs.",,,http://purl.obolibrary.org/obo/BFO_0000002,continuant,"An entity that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts.",,
