class,parent,classLabel,parentLabel,classDefinition,parentDefinition,classComment,parentComment
https://w3id.org/inbio#_000077,https://w3id.org/inbio#_000074,birth rate,life history trait,,,"The rate in which new borns are added to a population, or in other words, the number of new borns over time.",
http://purl.obolibrary.org/obo/NCIT_C127787,http://purl.obolibrary.org/obo/NCIT_C25256,total number,quantity,A measurement of the total number of entities.,How much there is of something that you can measure; the total amount or number.,,
http://purl.obolibrary.org/obo/NCIT_C127787,http://purl.obolibrary.org/obo/NCIT_C25256,total number,quantity,The determination of the amount of total number of entities.,How much there is of something that you can measure; the total amount or number.,,
http://cerrado.linkeddata.es/ecology/ccon#Recruitment,https://w3id.org/inbio#_000074,recruitment,life history trait,,,It's the rate on which new individuals establishes in a certain community either by new born individuals or immigration.,
http://cerrado.linkeddata.es/ecology/ccon#Recruitment,https://w3id.org/inbio#_000074,recruitment rate,life history trait,,,It's the rate on which new individuals establishes in a certain community either by new born individuals or immigration.,
http://purl.obolibrary.org/obo/ENVO_01000739,http://purl.obolibrary.org/obo/ENVO_01000254,habitat,environmental system,An environmental system which can sustain and allow the growth of an ecological population.,A system which has the disposition to environ one or more material entities.,,
http://purl.obolibrary.org/obo/ENVO_01000739,_:node280,habitat,,An environmental system which can sustain and allow the growth of an ecological population.,,,
http://purl.obolibrary.org/obo/NCIT_C25688,http://purl.obolibrary.org/obo/NCIT_C20181,status,conceptual entity,A condition or state at a particular time.,,,
http://purl.obolibrary.org/obo/BFO_0000040,http://purl.obolibrary.org/obo/BFO_0000004,material entity,independent continuant,A material entity is an independent continuant that has some portion of matter as proper or improper continuant part. (axiom label in BFO2 Reference: [019-002]),"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.",,
http://purl.obolibrary.org/obo/BFO_0000040,http://purl.obolibrary.org/obo/BFO_0000004,material entity,independent continuant,A material entity is an independent continuant that has some portion of matter as proper or improper continuant part. (axiom label in BFO2 Reference: [019-002]),For any independent continuant b and any time t there is some spatial region r such that b is located_in r at t. (axiom label in BFO2 Reference: [134-001]),,
http://purl.obolibrary.org/obo/BFO_0000040,http://purl.obolibrary.org/obo/BFO_0000004,material entity,independent continuant,A material entity is an independent continuant that has some portion of matter as proper or improper continuant part. (axiom label in BFO2 Reference: [019-002]),"For every independent continuant b and time t during the region of time spanned by its life, there are entities which s-depends_on b during t. (axiom label in BFO2 Reference: [018-002])",,
http://purl.obolibrary.org/obo/BFO_0000040,http://purl.obolibrary.org/obo/BFO_0000004,material entity,independent continuant,An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.,"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.",,
http://purl.obolibrary.org/obo/BFO_0000040,http://purl.obolibrary.org/obo/BFO_0000004,material entity,independent continuant,An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.,For any independent continuant b and any time t there is some spatial region r such that b is located_in r at t. (axiom label in BFO2 Reference: [134-001]),,
http://purl.obolibrary.org/obo/BFO_0000040,http://purl.obolibrary.org/obo/BFO_0000004,material entity,independent continuant,An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.,"For every independent continuant b and time t during the region of time spanned by its life, there are entities which s-depends_on b during t. (axiom label in BFO2 Reference: [018-002])",,
http://purl.obolibrary.org/obo/BFO_0000040,http://purl.obolibrary.org/obo/BFO_0000004,material entity,independent continuant,Every entity which has a material entity as continuant part is a material entity. (axiom label in BFO2 Reference: [020-002]),"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.",,
http://purl.obolibrary.org/obo/BFO_0000040,http://purl.obolibrary.org/obo/BFO_0000004,material entity,independent continuant,Every entity which has a material entity as continuant part is a material entity. (axiom label in BFO2 Reference: [020-002]),For any independent continuant b and any time t there is some spatial region r such that b is located_in r at t. (axiom label in BFO2 Reference: [134-001]),,
http://purl.obolibrary.org/obo/BFO_0000040,http://purl.obolibrary.org/obo/BFO_0000004,material entity,independent continuant,Every entity which has a material entity as continuant part is a material entity. (axiom label in BFO2 Reference: [020-002]),"For every independent continuant b and time t during the region of time spanned by its life, there are entities which s-depends_on b during t. (axiom label in BFO2 Reference: [018-002])",,
http://purl.obolibrary.org/obo/BFO_0000040,http://purl.obolibrary.org/obo/BFO_0000004,material entity,independent continuant,every entity of which a material entity is continuant part is also a material entity. (axiom label in BFO2 Reference: [021-002]),"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.",,
http://purl.obolibrary.org/obo/BFO_0000040,http://purl.obolibrary.org/obo/BFO_0000004,material entity,independent continuant,every entity of which a material entity is continuant part is also a material entity. (axiom label in BFO2 Reference: [021-002]),For any independent continuant b and any time t there is some spatial region r such that b is located_in r at t. (axiom label in BFO2 Reference: [134-001]),,
http://purl.obolibrary.org/obo/BFO_0000040,http://purl.obolibrary.org/obo/BFO_0000004,material entity,independent continuant,every entity of which a material entity is continuant part is also a material entity. (axiom label in BFO2 Reference: [021-002]),"For every independent continuant b and time t during the region of time spanned by its life, there are entities which s-depends_on b during t. (axiom label in BFO2 Reference: [018-002])",,
http://purl.obolibrary.org/obo/BFO_0000004,http://purl.obolibrary.org/obo/BFO_0000002,independent continuant,continuant,"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.","A continuant is an entity that persists, endures, or continues to exist through time while maintaining its identity. (axiom label in BFO2 Reference: [008-002])",,
http://purl.obolibrary.org/obo/BFO_0000004,http://purl.obolibrary.org/obo/BFO_0000002,independent continuant,continuant,"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.","An entity that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts.",,
http://purl.obolibrary.org/obo/BFO_0000004,http://purl.obolibrary.org/obo/BFO_0000002,independent continuant,continuant,"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.","if b is a continuant and if, for some t, c has_continuant_part b at t, then c is a continuant. (axiom label in BFO2 Reference: [126-001])",,
http://purl.obolibrary.org/obo/BFO_0000004,http://purl.obolibrary.org/obo/BFO_0000002,independent continuant,continuant,"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.","if b is a continuant and if, for some t, cis continuant_part of b at t, then c is a continuant. (axiom label in BFO2 Reference: [009-002])",,
http://purl.obolibrary.org/obo/BFO_0000004,http://purl.obolibrary.org/obo/BFO_0000002,independent continuant,continuant,"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.","if b is a material entity, then there is some temporal interval (referred to below as a one-dimensional temporal region) during which b exists. (axiom label in BFO2 Reference: [011-002])",,
http://purl.obolibrary.org/obo/BFO_0000004,http://purl.obolibrary.org/obo/BFO_0000002,independent continuant,continuant,For any independent continuant b and any time t there is some spatial region r such that b is located_in r at t. (axiom label in BFO2 Reference: [134-001]),"A continuant is an entity that persists, endures, or continues to exist through time while maintaining its identity. (axiom label in BFO2 Reference: [008-002])",,
http://purl.obolibrary.org/obo/BFO_0000004,http://purl.obolibrary.org/obo/BFO_0000002,independent continuant,continuant,For any independent continuant b and any time t there is some spatial region r such that b is located_in r at t. (axiom label in BFO2 Reference: [134-001]),"An entity that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts.",,
http://purl.obolibrary.org/obo/BFO_0000004,http://purl.obolibrary.org/obo/BFO_0000002,independent continuant,continuant,For any independent continuant b and any time t there is some spatial region r such that b is located_in r at t. (axiom label in BFO2 Reference: [134-001]),"if b is a continuant and if, for some t, c has_continuant_part b at t, then c is a continuant. (axiom label in BFO2 Reference: [126-001])",,
http://purl.obolibrary.org/obo/BFO_0000004,http://purl.obolibrary.org/obo/BFO_0000002,independent continuant,continuant,For any independent continuant b and any time t there is some spatial region r such that b is located_in r at t. (axiom label in BFO2 Reference: [134-001]),"if b is a continuant and if, for some t, cis continuant_part of b at t, then c is a continuant. (axiom label in BFO2 Reference: [009-002])",,
http://purl.obolibrary.org/obo/BFO_0000004,http://purl.obolibrary.org/obo/BFO_0000002,independent continuant,continuant,For any independent continuant b and any time t there is some spatial region r such that b is located_in r at t. (axiom label in BFO2 Reference: [134-001]),"if b is a material entity, then there is some temporal interval (referred to below as a one-dimensional temporal region) during which b exists. (axiom label in BFO2 Reference: [011-002])",,
http://purl.obolibrary.org/obo/BFO_0000004,http://purl.obolibrary.org/obo/BFO_0000002,independent continuant,continuant,"For every independent continuant b and time t during the region of time spanned by its life, there are entities which s-depends_on b during t. (axiom label in BFO2 Reference: [018-002])","A continuant is an entity that persists, endures, or continues to exist through time while maintaining its identity. (axiom label in BFO2 Reference: [008-002])",,
http://purl.obolibrary.org/obo/BFO_0000004,http://purl.obolibrary.org/obo/BFO_0000002,independent continuant,continuant,"For every independent continuant b and time t during the region of time spanned by its life, there are entities which s-depends_on b during t. (axiom label in BFO2 Reference: [018-002])","An entity that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts.",,
http://purl.obolibrary.org/obo/BFO_0000004,http://purl.obolibrary.org/obo/BFO_0000002,independent continuant,continuant,"For every independent continuant b and time t during the region of time spanned by its life, there are entities which s-depends_on b during t. (axiom label in BFO2 Reference: [018-002])","if b is a continuant and if, for some t, c has_continuant_part b at t, then c is a continuant. (axiom label in BFO2 Reference: [126-001])",,
http://purl.obolibrary.org/obo/BFO_0000004,http://purl.obolibrary.org/obo/BFO_0000002,independent continuant,continuant,"For every independent continuant b and time t during the region of time spanned by its life, there are entities which s-depends_on b during t. (axiom label in BFO2 Reference: [018-002])","if b is a continuant and if, for some t, cis continuant_part of b at t, then c is a continuant. (axiom label in BFO2 Reference: [009-002])",,
http://purl.obolibrary.org/obo/BFO_0000004,http://purl.obolibrary.org/obo/BFO_0000002,independent continuant,continuant,"For every independent continuant b and time t during the region of time spanned by its life, there are entities which s-depends_on b during t. (axiom label in BFO2 Reference: [018-002])","if b is a material entity, then there is some temporal interval (referred to below as a one-dimensional temporal region) during which b exists. (axiom label in BFO2 Reference: [011-002])",,
http://purl.obolibrary.org/obo/NCIT_C41129,https://w3id.org/inbio#_000034,region,geographical entity,"An area or portion of something with more or less definite boundaries designed or specified according to some established biological, administrative, economic, demographic, etc. criteria.",An entity or geographic feature that occupies a position in space about which data describing the attributes of the entity and its geographic location are recorded.,,
http://purl.obolibrary.org/obo/OBI_0001933,http://purl.obolibrary.org/obo/IAO_0000030,value specification,information content entity,,,,
http://purl.obolibrary.org/obo/IAO_0000003,http://purl.obolibrary.org/obo/IAO_0000009,measurement unit label,data item label,,,,
http://purl.obolibrary.org/obo/PATO_0000001,http://purl.obolibrary.org/obo/BFO_0000020,quality,specifically dependent continuant,A dependent entity that inheres in a bearer by virtue of how the bearer is related to other entities,A continuant that inheres in or is borne by other entities. Every instance of A requires some specific instance of B which must always be the same.,,
https://w3id.org/inbio#_000000,http://purl.obolibrary.org/obo/NCIT_C20181,system,conceptual entity,A material entity consisting of multiple components that are causally integrated.,,,
http://purl.obolibrary.org/obo/ENVO_01001110,http://purl.obolibrary.org/obo/ENVO_01000254,ecosystem,environmental system,An environmental system which includes both living and non-living components.,A system which has the disposition to environ one or more material entities.,,
http://cerrado.linkeddata.es/ecology/ccon#Biodiversity,https://w3id.org/inbio#_000043,biodiversity,diversity,"The biological variation found in a defined spatial area: can refer to variation at the level of genome, phenotype, species, community or ecosystem.","1) The variety of plant and animal taxa, including genes, amino acids, flowers, species, or populations. 2) The variety of plant and animal communities, forest types, stand conditions, age classes, and landscape components.","It's the degree of veriation of life forms within a given species, ecosystem, biome, or planet.
Source: wikipedia.org",
http://cerrado.linkeddata.es/ecology/ccon#Biodiversity,https://w3id.org/inbio#_000043,biological diversity,diversity,"The biological variation found in a defined spatial area: can refer to variation at the level of genome, phenotype, species, community or ecosystem.","1) The variety of plant and animal taxa, including genes, amino acids, flowers, species, or populations. 2) The variety of plant and animal communities, forest types, stand conditions, age classes, and landscape components.","It's the degree of veriation of life forms within a given species, ecosystem, biome, or planet.
Source: wikipedia.org",
https://w3id.org/inbio#_000090,http://purl.obolibrary.org/obo/NCIT_C171083,phenotypic plasticity,organism characteristic,The capacity of a genotype to produce different phenotypes in different environments.,A characteristic or attribute inherent or inherited to an organism.,,
https://w3id.org/inbio#_000005,https://w3id.org/inbio#_000053,invasive species,alien species,"Alien species that sustain self-replacing populations over several life cycles, produce reproductive offspring, often in very large numbers at considerable distance from the parent and/or site of introduction, and have the potential to spread over long distances.",Species whose presence in a region is attributable to human actions that enable them to overcome biogeographical barriers.,,
https://w3id.org/inbio#_000053,http://purl.obolibrary.org/obo/NCIT_C45293,alien species,species,Species whose presence in a region is attributable to human actions that enable them to overcome biogeographical barriers.,A group of organisms that differ from all other groups of organisms and that are capable of breeding and producing fertile offspring.,,
http://purl.obolibrary.org/obo/NCIT_C61556,https://w3id.org/inbio#_000083,defense,compound property,A trait or behaviour that is useful for repelling an enemy.,Attribute resulting from a combination of several traits,,
http://purl.obolibrary.org/obo/NCIT_C61556,https://w3id.org/inbio#_000083,defense,compound property,Protection from harm.,Attribute resulting from a combination of several traits,,
https://w3id.org/inbio#_000027,http://purl.obolibrary.org/obo/NCIT_C20181,invasion phase,conceptual entity,"Sequential phases during the invasion process. Typically, four different phases are distinguished: transport, introduction, establishment and spread.",,,
http://cerrado.linkeddata.es/ecology/ccon#DiversityIndex,https://w3id.org/inbio#_000044,diversity index,ecological measure,,"metric for qualifying ecologically relevant characteristics, e.g. biodiversity or body length","It's a quantitative measure that reflects how many different types (such as species) there are in a dataset, and can simultaneously takes into account how evenly the basic units (such as individuals) are distributed among those types.
Source: wikipedia.org",
https://w3id.org/inbio#_000050,https://w3id.org/inbio#_000059,species trait,trait,"A well-defined, measurable property of organisms, usually measured at the individual level and used comparatively across species.","The distinguishing qualities or prominent aspect of a person, object, action, process, or substance.",,
http://purl.obolibrary.org/obo/GO_0000003,http://purl.obolibrary.org/obo/GO_0008150,reproduction,biological process,The production of new individuals that contain some portion of genetic material inherited from one or more parent organisms.,"Any process specifically pertinent to the functioning of integrated living units: cells, tissues, organs, and organisms. A process is a collection of molecular events with a defined beginning and end.",,
http://purl.obolibrary.org/obo/GO_0040007,http://purl.obolibrary.org/obo/GO_0008150,growth,biological process,"The increase in size or mass of an entire organism, a part of an organism or a cell.","Any process specifically pertinent to the functioning of integrated living units: cells, tissues, organs, and organisms. A process is a collection of molecular events with a defined beginning and end.",,
https://w3id.org/inbio#_000079,http://purl.obolibrary.org/obo/BFO_0000040,resource,material entity,"Abiotic environmental factor necessary for survival, growth, and reproduction, such as water, light, mineral nutrients, and various forms of fixed carbon (e.g. plant material or meat).",A material entity is an independent continuant that has some portion of matter as proper or improper continuant part. (axiom label in BFO2 Reference: [019-002]),,
https://w3id.org/inbio#_000079,http://purl.obolibrary.org/obo/BFO_0000040,resource,material entity,"Abiotic environmental factor necessary for survival, growth, and reproduction, such as water, light, mineral nutrients, and various forms of fixed carbon (e.g. plant material or meat).",An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time.,,
https://w3id.org/inbio#_000079,http://purl.obolibrary.org/obo/BFO_0000040,resource,material entity,"Abiotic environmental factor necessary for survival, growth, and reproduction, such as water, light, mineral nutrients, and various forms of fixed carbon (e.g. plant material or meat).",Every entity which has a material entity as continuant part is a material entity. (axiom label in BFO2 Reference: [020-002]),,
https://w3id.org/inbio#_000079,http://purl.obolibrary.org/obo/BFO_0000040,resource,material entity,"Abiotic environmental factor necessary for survival, growth, and reproduction, such as water, light, mineral nutrients, and various forms of fixed carbon (e.g. plant material or meat).",every entity of which a material entity is continuant part is also a material entity. (axiom label in BFO2 Reference: [021-002]),,
https://w3id.org/inbio#_000068,http://purl.obolibrary.org/obo/NCIT_C20181,invasion success,conceptual entity,Completing one or all phases of the invasion process.,,,
https://w3id.org/inbio#_000011,http://purl.obolibrary.org/obo/NCIT_C20181,propagule pressure,conceptual entity,A composite measure consisting of the number of individuals introduced per introduction event and the frequency of introduction events.,,,
http://purl.obolibrary.org/obo/NCIT_C25446,https://w3id.org/inbio#_000025,change,process,,"A process is an entity that exists in time by occurring or happening, has temporal parts and always involves and depends on some entity during the time it occurs.",,
http://purl.obolibrary.org/obo/NCIT_C25446,https://w3id.org/inbio#_000025,change,process,,"An occurrent [span:Occurrent] that exists in time by occurring or happening, has temporal parts and always involves and depends on some entity.",,
https://w3id.org/inbio#_000091,https://w3id.org/inbio#_000023,enemy,role,"An organism that is a predator, consumer, parasite, parasitoid or pathogen of another organism.",The usual or expected function of something; the part something plays in an action or event.,,
https://w3id.org/inbio#invasion_rate,https://w3id.org/inbio#_000042,invasion rate,estimate,Invasion rate refers to the speed or frequency at which an invasive species spreads into new areas within a given time frame. It is a critical measure in invasion biology to assess the potential impact and management needs of invasive species.,,,
https://w3id.org/inbio#population_dynamics,http://purl.obolibrary.org/obo/GO_0008150,population dynamics,biological process,"Population dynamics in invasion biology refers to the study of how invasive species populations change over time and space, affected by births, deaths, and migration rates.","Any process specifically pertinent to the functioning of integrated living units: cells, tissues, organs, and organisms. A process is a collection of molecular events with a defined beginning and end.",,
https://w3id.org/inbio#generalist_herbivore,https://w3id.org/inbio#_000022,generalist herbivore,generalist,"A generalist herbivore is an organism that feeds on a wide variety of plant species, rather than specializing in a particular type of plant. In the context of invasion biology, generalist herbivores can have significant impacts on ecosystems by consuming native and non-native plant species, potentially facilitating the spread of invasive plants.",A species that can survive and reproduce in a wide range of environmental conditions using a wide variety of resouces to do so.,,
https://w3id.org/inbio#ecosystem_dynamics,https://w3id.org/inbio#_000088,ecosystem dynamics,ecological impact,"Ecosystem dynamics cover the changes and processes within ecosystems driven by both native and invasive species, including nutrient flows and energy cycles.",A measurable change to the properties of an ecosystem by a non-native species.,,
https://w3id.org/inbio#invasive_weed,https://w3id.org/inbio#_000005,invasive weed,invasive species,"An invasive weed is a type of plant that is not native to a specific location and has a tendency to spread, which can cause damage to the environment, human economy, or human health.","Alien species that sustain self-replacing populations over several life cycles, produce reproductive offspring, often in very large numbers at considerable distance from the parent and/or site of introduction, and have the potential to spread over long distances.",,
https://w3id.org/inbio#native_vegetation,http://purl.obolibrary.org/obo/ENVO_01001305,native vegetation,vegetated area,"Native vegetation refers to plant species that are indigenous to a region, playing a critical role in maintaining ecological balance and resisting invasive species.",A vegetated area is a geographic feature which has ground cover dominated by plant communities.,,
https://w3id.org/inbio#biotic_acceptance,https://w3id.org/inbio#_000005,biotic acceptance,invasive species,"Biotic acceptance is a concept in invasion biology that suggests that ecosystems with high native species diversity are more likely to accept invasive species, as opposed to resisting them.","Alien species that sustain self-replacing populations over several life cycles, produce reproductive offspring, often in very large numbers at considerable distance from the parent and/or site of introduction, and have the potential to spread over long distances.",,
https://w3id.org/inbio#biotic_acceptance,http://cerrado.linkeddata.es/ecology/ccon#ComunityDynamics,biotic acceptance,community dynamics,"Biotic acceptance is a concept in invasion biology that suggests that ecosystems with high native species diversity are more likely to accept invasive species, as opposed to resisting them.",,,The community dynamics is the study of changes over time of the structure of biological communities.
https://w3id.org/inbio#native_biodiversity,http://cerrado.linkeddata.es/ecology/ccon#Biodiversity,native biodiversity,biodiversity,"Native biodiversity in invasion biology refers to the variety and variability of native species within an ecological community, crucial for ecosystem resilience and stability.","The biological variation found in a defined spatial area: can refer to variation at the level of genome, phenotype, species, community or ecosystem.",,"It's the degree of veriation of life forms within a given species, ecosystem, biome, or planet.
Source: wikipedia.org"
https://w3id.org/inbio#native_biodiversity,http://cerrado.linkeddata.es/ecology/ccon#Biodiversity,native biodiversity,biological diversity,"Native biodiversity in invasion biology refers to the variety and variability of native species within an ecological community, crucial for ecosystem resilience and stability.","The biological variation found in a defined spatial area: can refer to variation at the level of genome, phenotype, species, community or ecosystem.",,"It's the degree of veriation of life forms within a given species, ecosystem, biome, or planet.
Source: wikipedia.org"
https://w3id.org/inbio#original_community,https://w3id.org/inbio#_000046,original community,community,Original community refers to the assemblage of native species and their interactions within a specific ecosystem prior to the introduction of alien species.,"A community of at least two different species, living in a particular area. Must have at least two populations of different species as members.",,
https://w3id.org/inbio#ecological_disruption,https://w3id.org/inbio#_000088,ecological disruption,ecological impact,"Ecological disruption involves significant changes to ecosystem structure and function due to invasive species, leading to loss of biodiversity and altered ecosystem services.",A measurable change to the properties of an ecosystem by a non-native species.,,
https://w3id.org/inbio#detritivore,http://purl.obolibrary.org/obo/NCIT_C45293,detritivore,species,"A detritivore is an organism that feeds on dead organic material, particularly plant detritus, playing a crucial role in the decomposition process and nutrient cycling within ecosystems.",A group of organisms that differ from all other groups of organisms and that are capable of breeding and producing fertile offspring.,,
https://w3id.org/inbio#nutrient_cycling,http://purl.obolibrary.org/obo/ENVO_02500031,nutrient cycling,hydrological process,"Nutrient cycling examines how invasive species can alter the rates of nutrient intake, recycling, and distribution within an ecosystem.",An environmental process which has water - in any of its states - as a participant.,,
https://w3id.org/inbio#invasion_biology,https://w3id.org/inbio#_000064,invasion biology,invasion,"Invasion biology is the study of the causes and consequences of the introduction of species to new environments, where they establish, spread, and have impacts on native ecosystems and biodiversity.","The process of transportation, establishment and spread of organisms outside of their native range.",,
https://w3id.org/inbio#pathways_of_species_introduction,http://purl.obolibrary.org/obo/ENVO_01000203,pathways of species introduction,environmental condition,"Pathways of species introduction are the routes through which non-native species are introduced into new environments, including natural dispersal and human-related activities.",An environmental condition is a range of a determinate quality or combination of qualities that are present in an environmental system.,,"An abiotic environmental factor that influences the functioning of living organisms (Begon et al., 2006)."
https://w3id.org/inbio#manual_removal,https://w3id.org/inbio#_000040,manual removal,human activity,"Manual removal refers to the physical extraction of invasive species by human effort, often used as a management strategy in invasion biology to control or eradicate non-native species from an ecosystem.","Actions of human beings that have an influence on the environment and that are characteristic for human societies, i.e. they are linked to social, economic or other cultural processes.",,
https://w3id.org/inbio#manual_removal,http://purl.obolibrary.org/obo/NCIT_C25548,manual removal,involvement,"Manual removal refers to the physical extraction of invasive species by human effort, often used as a management strategy in invasion biology to control or eradicate non-native species from an ecosystem.",,,
https://w3id.org/inbio#invasive_species_populations,http://purl.obolibrary.org/obo/PCO_0000001,invasive species populations,population of organisms,"Invasive species populations in invasion biology refer to the groups of non-native organisms that establish, proliferate, and expand across new territories, often impacting local ecosystems.","A collection of organisms, all of the same species, that live in the same place.",,
https://w3id.org/inbio#native_species_decline,https://w3id.org/inbio#_000088,native species decline,ecological impact,"Native species decline in invasion biology examines the decrease in native species populations due to factors such as habitat loss, competition from invasive species, and environmental changes.",A measurable change to the properties of an ecosystem by a non-native species.,,
https://w3id.org/inbio#community_study,https://w3id.org/inbio#invasion_biology,community study,invasion biology,"A community study refers to the examination and analysis of the interactions, dynamics, and characteristics of a community of organisms, particularly focusing on the impact and role of invasive species within that community.","Invasion biology is the study of the causes and consequences of the introduction of species to new environments, where they establish, spread, and have impacts on native ecosystems and biodiversity.",,
https://w3id.org/inbio#community_study,https://w3id.org/inbio#_000046,community study,community,"A community study refers to the examination and analysis of the interactions, dynamics, and characteristics of a community of organisms, particularly focusing on the impact and role of invasive species within that community.","A community of at least two different species, living in a particular area. Must have at least two populations of different species as members.",,
https://w3id.org/inbio#species_interactions,https://w3id.org/inbio#_000088,species interactions,ecological impact,"Species interactions in invasion biology involve the various ways species influence each other within an ecosystem, including competition, predation, parasitism, and mutualism, which can be significantly altered by invasive species.",A measurable change to the properties of an ecosystem by a non-native species.,,
https://w3id.org/inbio#invasion_process,https://w3id.org/inbio#_000064,invasion process,invasion,"The invasion process refers to the sequence of events and mechanisms through which non-native species establish, spread, and impact new environments, often leading to ecological changes.","The process of transportation, establishment and spread of organisms outside of their native range.",,
https://w3id.org/inbio#local_ecosystems,http://purl.obolibrary.org/obo/ENVO_01001110,local ecosystems,ecosystem,"Local ecosystems in invasion biology refer to specific ecological communities within a defined geographical area, each with unique interactions and susceptibilities to the impacts of invasive species.",An environmental system which includes both living and non-living components.,,
https://w3id.org/inbio#species_number,http://cerrado.linkeddata.es/ecology/ccon#SpeciesRichness,species number,species richness,"Species number refers to the count of distinct species present in a given area or ecosystem, often used as a measure of biodiversity and an indicator of ecological health, particularly in the context of invasion biology where it can reflect the impact of invasive species on native biodiversity.",,,"the number of differnet species represented in an ecological community, landscape or region"
https://w3id.org/inbio#the_diversity_of_ecosystems,http://purl.obolibrary.org/obo/ENVO_01001110,the diversity of ecosystems,ecosystem,"The diversity of ecosystems refers to the range of different ecosystems found within a specific geographic area, each with unique structures, species compositions, and ecological functions, which can be impacted variably by invasive species.",An environmental system which includes both living and non-living components.,,
https://w3id.org/inbio#mutualistic_interaction,http://cerrado.linkeddata.es/ecology/ccon#ComunityDynamics,mutualistic interaction,community dynamics,"A mutualistic interaction is a type of symbiosis where two or more species interact in a way that is beneficial to all involved parties. In the context of invasion biology, mutualistic interactions can influence the success and impact of invasive species by providing them with advantages such as increased resources, protection, or dispersal opportunities.",,,The community dynamics is the study of changes over time of the structure of biological communities.
